Provinsi,Region_2020,Rumah_2020,Industri_2020,Bisnis_2020,Sosial_2020,Bangunan Pemerintah_2020,Penerangan Jalan Umum_2020,Total_2020,Region_2021,Rumah_2021,Industri_2021,Bisnis_2021,Sosial_2021,Bangunan Pemerintah_2021,Penerangan Jalan Umum_2021,Total_2021,Region_2022,Rumah_2022,Industri_2022,Bisnis_2022,Sosial_2022,Bangunan Pemerintah_2022,Penerangan Jalan Umum_2022,Total_2022,Region_2023,Rumah_2023,Industri_2023,Bisnis_2023,Sosial_2023,Bangunan Pemerintah_2023,Lainnya_2022,Total_2023
Aceh,Aceh,"1.089.585.250,00","111.618.950,00","1.102.938.400,00","290.048.000,00","101.502.350,00","98.619.395,00","6.357.048.195,00",Aceh,"1.142.509.550,00","129.284.850,00","381.583.200,00","149.705.300,00","86.948.900,00","35.617.322,00","1.925.649.122,00",Aceh,"1.189.702.350,00","145.429.200,00","408.401.500,00","162.217.750,00","89.563.900,00","37.275.226,00","2.032.589.926,00",Aceh,"1.248.884.850,00","178.429.700,00","438.879.150,00","175.265.550,00","130.377.756,00","2.026.900,00",2.173.863.906
Bengkulu,Bengkulu,,,"522.106.200,00","151.642.400,00","102.766.550,00","31.664.515,00","2.666.116.115,00",Bengkulu,,,"388.283.800,00","103.486.700,00","62.806.100,00","20.387.366,00","1.936.869.366,00",Bengkulu,,,"597.395.400,00","186.488.600,00","114.373.300,00","34.801.151,00","3.130.146.151,00",Bengkulu,,,,,,,
D.I. Yogyakarta,D.I. Yogyakarta,,,,,,,,D.I. Yogyakarta,,,,,,,,D.I. Yogyakarta,,,,,,,,D.I. Yogyakarta,,,,,,,
Dist. Banten,Banten,"3.325.217.050,00","5.632.917.703,00",,,,,,Banten,"3.541.204.950,00","5.965.599.053,00",,,,,,Banten,"3.744.669.800,00","6.232.304.703,00",,,,,,Banten,"4.019.168.000,00","6.614.135.102,00","2.215.417.450,00","300.362.100,00","190.763.026,00","125.848.650,00",13.465.694.328
Dist. Jakarta Raya & Tangerang,DKI Jaya,"8.227.232.600,00","1.901.378.700,00",,,,,,DKI Jaya,"8.582.973.050,00","1.895.333.700,00",,,,,,DKI Jaya,"8.908.769.000,00","1.889.184.850,00",,,,,,DKI Jaya,"9.397.637.700,00","1.815.537.000,00","7.675.002.150,00","1.040.017.800,00","1.136.902.255,00","569.618.400,00",21.634.715.305
Dist. Jawa Barat,West Java,"12.907.481.200,00","8.579.497.550,00",,,,,,West Java,"13.642.688.850,00","8.831.243.650,00",,,,,,West Java,"14.322.596.050,00","9.149.542.250,00",,,,,,West Java,"15.108.866.400,00","9.443.211.400,00","5.351.486.500,00","1.123.645.950,00","592.529.078,00","187.899.450,00",31.807.638.778
Dist. Jawa Timur,East java,"9.745.111.040,00","6.674.775.850,00",,,,,,East java,"10.214.324.850,00","6.916.248.750,00",,,,,,East java,"10.635.124.600,00","7.284.774.300,00",,,,,,East java,"11.192.262.300,00","7.658.860.150,00","4.232.595.500,00","1.230.922.510,00","629.887.732,00","48.567.900,00",24.993.096.092
Distribusi Bali,Bali,"1.875.297.750,00","104.869.250,00","498.919.050,00","49.772.000,00","25.396.150,00","9.927.400,00","1.518.970.100,00",Bali,"1.959.543.150,00","108.895.450,00","31.974.050.600,00","6.954.434.310,00","3.624.925.750,00","1.294.213.268,00","153.565.964.731,00",Bali,"2.056.182.900,00","112.876.950,00",,,,,,Bali,"2.209.142.600,00","119.207.950,00","1.836.310.600,00","194.252.800,00","114.255.090,00","63.574.600,00",4.536.743.640
Gorontalo,Gorontalo,,,"181.906.950,00","68.690.250,00","46.382.700,00","5.852.633,00","1.193.599.364,00",Gorontalo,"1.619.060.000,00","213.650.150,00","298.617.350,00","80.662.900,00","39.546.800,00","15.695.957,00","1.892.602.907,00",Gorontalo,"1.735.882.850,00","271.434.200,00","210.581.400,00","88.175.718,00","53.198.850,00","6.238.783,00","1.453.254.551,00",Gorontalo,,,,,,,
JAWA,JAVA,"43.184.454.690,00","26.097.248.653,00",,,,,,JAVA,"45.461.821.400,00","27.204.112.003,00",,,,,,JAVA,"47.531.856.700,00","28.311.062.753,00",,,,,,JAVA,"50.143.670.400,00","29.458.943.552,00","22.917.816.300,00","4.908.398.160,00","3.090.325.497,00","1.016.679.800,00",111.535.833.709
