Provinsi,Rumah,Industri,Bisnis,Sosial,Bangunan Pemerintah,Penerangan Jalan Umum,Total,(%),Tahun
UIW Aceh,"1,868.28",172.01,477.66,191.60,104.06,124.38,"2,938.00",1.21,2020
UIW North Sumatera,"5,704.42","2,946.75","1,588.88",397.04,143.55,412.21,"11,192.85",4.60,2020
UIW West Sumatera,"1,717.86",857.01,526.93,154.80,77.41,95.28,"3,429.28",1.41,2020
UIW Riau and Riau Archipelago,"3,289.23",689.32,"1,336.82",236.77,145.68,156.83,"5,854.65",2.40,2020
Riau,"2,803.71",649.89,"1,069.61",203.12,106.86,133.86,"4,967.05",2.04,2020
Riau Archipelago,485.52,39.42,267.21,33.65,38.83,22.97,887.60,0.36,2020
"UIW South Sumatera, Jambi and Bengkulu","5,096.22","1,166.68","1,409.04",299.39,180.66,180.57,"8,332.54",3.42,2020
South Sumatera,"3,064.58",930.16,891.14,185.43,104.74,132.40,"5,308.45",2.18,2020
Jambi,"1,315.04",162.34,372.64,76.59,45.98,38.01,"2,010.60",0.83,2020
Bengkulu,716.60,74.18,145.25,37.37,29.94,10.16,"1,013.49",0.42,2020
UIW Bangka Belitung,709.99,224.70,194.17,44.73,34.55,9.38,"1,217.51",0.50,2020
UID Lampung,"2,999.71","1,005.18",593.53,175.47,70.33,114.80,"4,959.02",2.04,2020
UIW West Kalimantan,"1,731.85",197.74,554.95,104.88,78.25,48.00,"2,715.67",1.11,2020
UIW S and C Kalimantan,"2,713.95",521.35,804.07,173.36,137.52,82.46,"4,432.70",1.82,2020
South Kalimantan,"1,782.55",391.85,510.85,116.42,76.22,61.11,"2,939.00",1.21,2020
Central Kalimantan,931.40,129.50,293.21,56.94,61.30,21.34,"1,493.70",0.61,2020
UIW East and North Kalimantan,"2,379.92",351.70,999.25,171.69,168.29,53.01,"4,123.86",1.69,2020
"UIW N, C Sulawesi and Gorontalo","2,210.92",452.22,657.66,158.81,136.25,119.06,"3,734.91",1.53,2020
North Sulawesi,931.93,369.90,395.85,71.51,46.18,46.91,"1,862.27",0.76,2020
Gorontalo,400.82,36.11,88.25,27.76,38.04,10.60,601.57,0.25,2020
Central Sulawesi,878.17,46.21,173.56,59.54,52.03,61.55,"1,271.07",0.52,2020
"UIW S, SE and W Sulawesi","4,166.55","1,263.72","1,341.47",308.28,218.32,166.63,"7,464.97",3.06,2020
South Sulawesi,"3,168.73","1,173.91","1,089.56",250.27,155.60,139.41,"5,977.49",2.45,2020
Southeast Sulawesi,714.64,53.80,194.12,40.51,40.78,19.67,"1,063.52",0.44,2020
West Sulawesi,283.18,36.00,57.79,17.50,21.94,7.55,423.96,0.17,2020
UIW Maluku and North Maluku,744.48,15.96,225.63,55.61,80.54,17.23,"1,139.46",0.47,2020
Maluku,329.70,10.13,128.93,28.53,43.17,7.66,548.13,0.23,2020
North Maluku,414.78,5.83,96.70,27.09,37.37,9.57,591.33,0.24,2020
UIW Papua and West Papua,"1,023.85",17.31,412.90,87.75,119.70,18.35,"1,679.86",0.69,2020
Papua,688.57,9.11,284.78,58.40,79.35,12.19,"1,132.39",0.46,2020
West Papua,335.28,8.20,128.12,29.35,40.35,6.16,547.47,0.22,2020
UID Bali,"2,434.37",189.25,"1,971.79",156.27,124.77,70.41,"4,946.86",2.03,2020
UIW West Nusa Tenggara,"1,428.13",154.03,376.45,85.16,46.92,58.73,"2,149.42",0.88,2020
UIW East Nusa Tenggara,729.29,47.97,232.18,60.38,48.03,15.63,"1,133.49",0.47,2020
PT PLN Batam,876.23,761.21,691.61,61.51,37.72,14.97,"2,443.27",1.00,2020
O u t s i d e J a v a,"41,825.24","11,034.11","14,395.00","2,923.50","1,952.56","1,757.92","73,888.32",30.33,2020
UID East Java,"15,336.98","15,081.36","4,884.40","1,262.05",424.31,624.45,"37,613.56",15.44,2020
UID Central Java and Yogyakarta,"14,259.58","7,837.42","3,866.63","1,232.65",350.58,556.33,"28,103.18",11.54,2020
Central Java,"12,556.06","7,592.91","3,168.80",995.98,282.37,494.62,"25,090.74",10.30,2020
D.I. Yogyakarta,"1,703.52",244.51,697.83,236.67,68.21,61.71,"3,012.44",1.24,2020
UID West Java,"20,362.31","21,427.96","5,797.60","1,142.95",433.73,377.70,"49,542.25",20.34,2020
UID Banten,"5,794.78","13,027.20","2,890.11",315.16,154.57,86.89,"22,268.71",9.14,2020
UID Jakarta Raya,"14,576.96","3,831.81","10,985.59","1,221.74","1,319.03",231.59,"32,166.71",13.21,2020
J a v a,"70,330.61","61,205.75","28,424.32","5,174.56","2,682.22","1,876.96","169,694.43",69.67,2020
I n d o n e s i a,"112,155.85","72,239.86","42,819.32","8,098.06","4,634.78","3,634.88","243,582.75",100.00,2020
(%),46.04,29.66,17.58,3.32,1.90,1.49,100.00,,2020
UIW Aceh,"1,929.59",190.56,515.04,208.23,107.18,123.87,"3,074.47",1.19,2021
UIW North Sumatera,"5,998.75","3,082.97","1,672.31",432.68,146.38,415.31,"11,748.40",4.56,2021
UIW West Sumatera,"1,781.19",945.24,573.70,169.92,80.45,95.70,"3,646.20",1.42,2021
UIW Riau and Riau Archipelago,"3,431.96","1,633.60","1,408.09",259.18,151.32,137.01,"7,021.16",2.73,2021
Riau,"2,935.09","1,593.61","1,130.68",222.55,112.15,114.24,"6,108.32",2.37,2021
Riau Archipelago,496.87,39.99,277.41,36.63,39.17,22.77,912.84,0.35,2021
"UIW South Sumatera, Jambi and Bengkulu","5,338.70","1,252.87","1,479.67",328.15,186.86,178.21,"8,764.46",3.40,2021
South Sumatera,"3,213.41",997.88,938.33,203.58,109.06,131.67,"5,593.93",2.17,2021
Jambi,"1,373.30",175.26,394.86,83.48,48.35,36.67,"2,111.92",0.82,2021
Bengkulu,751.99,79.73,146.48,41.09,29.45,9.87,"1,058.61",0.41,2021
UIW Bangka Belitung,734.92,334.89,204.61,50.17,35.16,9.45,"1,369.20",0.53,2021
UID Lampung,"3,032.14","1,100.99",645.49,201.45,73.25,123.62,"5,176.94",2.01,2021
UIW West Kalimantan,"1,851.60",232.03,584.47,116.13,82.01,46.74,"2,912.98",1.13,2021
UIW S and C Kalimantan,"2,798.64",600.24,832.16,193.66,139.95,83.95,"4,648.60",1.80,2021
South Kalimantan,"1,814.17",433.00,533.07,129.76,78.13,62.58,"3,050.71",1.18,2021
Central Kalimantan,984.47,167.24,299.09,63.90,61.82,21.37,"1,597.89",0.62,2021
UIW East and North Kalimantan,"2,421.02",458.86,"1,019.31",180.25,169.47,53.03,"4,301.94",1.67,2021
"UIW N, C Sulawesi and Gorontalo","2,314.92",488.90,698.72,176.58,141.62,112.08,"3,932.82",1.53,2021
North Sulawesi,970.99,384.49,405.97,83.52,48.50,46.79,"1,940.26",0.75,2021
Gorontalo,416.64,39.80,102.20,29.87,39.51,10.69,638.71,0.25,2021
Central Sulawesi,927.29,64.61,190.55,63.19,53.61,54.60,"1,353.85",0.53,2021
"UIW S, SE and W Sulawesi","4,327.98","1,733.74","1,401.91",340.33,222.45,160.79,"8,187.20",3.18,2021
South Sulawesi,"3,262.35","1,635.68","1,133.23",274.32,158.31,133.98,"6,597.87",2.56,2021
Southeast Sulawesi,769.50,59.27,211.60,46.32,43.86,19.29,"1,149.84",0.45,2021
