Tahun,GWh_Distribusi
2020,2937.99
2020,4946.86
2020,22268.71
2020,1013.5
2020,3012.45
2020,32166.72
2020,601.58
2020,2010.6
2020,49542.25
2020,25090.74
2020,37613.55
2020,2715.67
2020,2939.0
2020,1493.69
2020,4123.86
2020,261.82
2020,1217.52
2020,887.6
2020,4959.02
2020,548.12
2020,591.34
2020,2149.42
2020,1133.48
2020,1132.4
2020,547.46
2020,
2020,
2020,
2020,
2020,4967.05
2020,423.96
2020,5977.48
2020,1271.06
2020,1063.52
2020,1862.28
2020,3429.29
2020,5312.77
2020,11192.85
2020,241405.61
2021,3074.47
2021,4708.02
2021,23830.91
2021,1058.61
2021,3108.38
2021,32709.3
2021,638.71
2021,2111.92
2021,53318.02
2021,26661.16
2021,39457.19
2021,2912.98
2021,3050.71
2021,1597.89
2021,4117.44
2021,184.5
2021,1369.2
2021,3478.63
2021,5176.94
2021,582.88
2021,637.04
2021,2290.19
2021,1160.16
2021,1237.64
2021,583.21
2021,
2021,
2021,
2021,
2021,6108.32
2021,439.49
2021,6597.87
2021,1353.85
2021,1149.84
2021,1940.26
2021,3646.2
2021,5593.93
2021,11748.4
2021,257634.26
2022,3154.01
2022,5470.51
2022,26705.67
2022,1087.22
2022,3326.61
2022,34578.29
2022,674.05
2022,2234.86
2022,56226.11
2022,27564.64
2022,40546.88
2022,3034.85
2022,3298.88
2022,1688.28
2022,4287.19
2022,192.11
2022,1484.13
2022,3889.72
2022,5382.48
2022,607.1
2022,672.32
2022,2359.31
2022,1206.91
2022,1280.52
2022,621.46
2022,
2022,
2022,
2022,
2022,7691.64
2022,470.21
2022,7856.64
2022,1420.38
2022,1213.9
2022,1966.05
2022,3630.43
2022,5878.31
2022,12059.81
2022,273761.48
2023,3458.3
2023,6354.53
2023,26971.4
2023,1155.97
2023,3564.23
2023,36992.35
2023,742.22
2023,2371.18
2023,58564.31
2023,28431.75
2023,41886.3
2023,3308.59
2023,3693.87
2023,1831.08
2023,4803.87
2023,263.04
2023,1610.81
2023,4209.39
2023,5761.91
2023,633.56
2023,1018.52
2023,2572.6
2023,1333.25
2023,1342.39
2023,667.98
2023,
2023,
2023,
2023,
2023,8212.56
2023,518.33
2023,8558.03
2023,1602.92
2023,1342.95
2023,2095.38
2023,3810.84
2023,6278.5
2023,12472.84
2023,288435.75
