Provinsi,Tahun,Segmen Pelanggan,Distribusi Listrik (GWh)
UIW Aceh,2023,Rumah,1.98667
UIW North Sumatera,2023,Rumah,6.18734
UIW West Sumatera,2023,Rumah,1.83736
UIW Riau and Riau Archipelago,2023,Rumah,3.66558
Riau,2023,Rumah,3.1428
Kepulauan Riau,2023,Rumah,52277.0
"UIW South Sumatera, Jambi and Bengkulu",2023,Rumah,5.80119
Sumatera Selatan,2023,Rumah,3.49416
Jambi,2023,Rumah,1.50159
Bengkulu,2023,Rumah,80545.0
UIW Bangka Belitung,2023,Rumah,82081.0
UIW Lampung,2023,Rumah,3.23905
UIW West Kalimantan,2023,Rumah,2.0549
UIW S and C Kalimantan,2023,Rumah,3.03563
Kalimantan Selatan,2023,Rumah,1.95032
Kalimantan Tengah,2023,Rumah,1.08532
UIW East and North Kalimantan,2023,Rumah,2.72369
"UIW N, C Sulawesi and Gorontalo",2023,Rumah,2.51765
Sulawesi Utara,2023,Rumah,1.01027
Sulawesi Tengah,2023,Rumah,1.05972
Gorontalo,2023,Rumah,44765.0
"UIW S, SE and W Sulawesi",2023,Rumah,4.72279
Sulawesi Selatan,2023,Rumah,3.52489
Sulawesi Tenggara,2023,Rumah,86159.0
Sulawesi Barat,2023,Rumah,33631.0
UIW Maluku and North Maluku,2023,Rumah,87504.0
Maluku,2023,Rumah,36739.0
Maluku Utara,2023,Rumah,50765.0
UIW Papua and West Papua,2023,Rumah,1.18792
Papua,2023,Rumah,79403.0
Papua Barat,2023,Rumah,39389.0
UID Bali,2023,Rumah,2.73818
UIW West Nusa Tenggara,2023,Rumah,1.60871
UIW East Nusa Tenggara,2023,Rumah,80883.0
PT PLN Batam,2023,Rumah,1.0012
UIW East Java,2023,Rumah,16.00406
UID Central Java and Yogyakarta,2023,Rumah,15.54824
Jawa Tengah,2023,Rumah,13.62027
D.I. Yogyakarta,2023,Rumah,1.92797
UIW West Java,2023,Rumah,21.85479
UID Banten,2023,Rumah,6.47533
UID Jakarta Raya,2023,Rumah,15.64475
UIW Aceh,2023,Industri,33979.0
UIW North Sumatera,2023,Industri,3.13713
UIW West Sumatera,2023,Industri,83960.0
UIW Riau and Riau Archipelago,2023,Industri,3.21997
Riau,2023,Industri,3.1806
Kepulauan Riau,2023,Industri,3937.0
"UIW South Sumatera, Jambi and Bengkulu",2023,Industri,1.3759
Sumatera Selatan,2023,Industri,1.11018
Jambi,2023,Industri,18249.0
Bengkulu,2023,Industri,8324.0
UIW Bangka Belitung,2023,Industri,43114.0
UIW Lampung,2023,Industri,1.19464
UIW West Kalimantan,2023,Industri,26691.0
UIW S and C Kalimantan,2023,Industri,93991.0
Kalimantan Selatan,2023,Industri,74747.0
Kalimantan Tengah,2023,Industri,19244.0
UIW East and North Kalimantan,2023,Industri,61636.0
"UIW N, C Sulawesi and Gorontalo",2023,Industri,63110.0
Sulawesi Utara,2023,Industri,41745.0
Sulawesi Tengah,2023,Industri,12186.0
Gorontalo,2023,Industri,9179.0
"UIW S, SE and W Sulawesi",2023,Industri,3.13899
Sulawesi Selatan,2023,Industri,3.00886
Sulawesi Tenggara,2023,Industri,8306.0
Sulawesi Barat,2023,Industri,4708.0
UIW Maluku and North Maluku,2023,Industri,29755.0
Maluku,2023,Industri,1208.0
Maluku Utara,2023,Industri,28547.0
UIW Papua and West Papua,2023,Industri,2423.0
Papua,2023,Industri,1183.0
Papua Barat,2023,Industri,1240.0
UID Bali,2023,Industri,20762.0
UIW West Nusa Tenggara,2023,Industri,23893.0
UIW East Nusa Tenggara,2023,Industri,4319.0
PT PLN Batam,2023,Industri,96306.0
UIW East Java,2023,Industri,17.16679
UID Central Java and Yogyakarta,2023,Industri,8.67719
Jawa Tengah,2023,Industri,8.40815
D.I. Yogyakarta,2023,Industri,26905.0
UIW West Java,2023,Industri,25.02644
UID Banten,2023,Industri,15.81403
UID Jakarta Raya,2023,Industri,3.99721
UIW Aceh,2023,Bisnis,63121.0
UIW North Sumatera,2023,Bisnis,1.99201
UIW West Sumatera,2023,Bisnis,73029.0
UIW Riau and Riau Archipelago,2023,Bisnis,1.68334
Riau,2023,Bisnis,1.3585
Kepulauan Riau,2023,Bisnis,32484.0
"UIW South Sumatera, Jambi and Bengkulu",2023,Bisnis,1.78946
Sumatera Selatan,2023,Bisnis,1.14058
Jambi,2023,Bisnis,47390.0
Bengkulu,2023,Bisnis,17498.0
UIW Bangka Belitung,2023,Bisnis,24942.0
UIW Lampung,2023,Bisnis,85476.0
UIW West Kalimantan,2023,Bisnis,69201.0
UIW S and C Kalimantan,2023,Bisnis,1.03243
Kalimantan Selatan,2023,Bisnis,66218.0
Kalimantan Tengah,2023,Bisnis,37025.0
UIW East and North Kalimantan,2023,Bisnis,1.23309
"UIW N, C Sulawesi and Gorontalo",2023,Bisnis,82305.0
Sulawesi Utara,2023,Bisnis,46894.0
Sulawesi Tengah,2023,Bisnis,24285.0
Gorontalo,2023,Bisnis,11126.0
"UIW S, SE and W Sulawesi",2023,Bisnis,1.68934
Sulawesi Selatan,2023,Bisnis,1.35263
Sulawesi Tenggara,2023,Bisnis,26149.0
Sulawesi Barat,2023,Bisnis,7522.0
UIW Maluku and North Maluku,2023,Bisnis,29110.0
Maluku,2023,Bisnis,15526.0
Maluku Utara,2023,Bisnis,13584.0
UIW Papua and West Papua,2023,Bisnis,50310.0
Papua,2023,Bisnis,33933.0
Papua Barat,2023,Bisnis,16377.0
UID Bali,2023,Bisnis,3.03384
UIW West Nusa Tenggara,2023,Bisnis,49264.0
UIW East Nusa Tenggara,2023,Bisnis,31624.0
PT PLN Batam,2023,Bisnis,1.09716
UIW East Java,2023,Bisnis,5.93268
UID Central Java and Yogyakarta,2023,Bisnis,5.06491
Jawa Tengah,2023,Bisnis,4.17067
D.I. Yogyakarta,2023,Bisnis,89424.0
UIW West Java,2023,Bisnis,9.01371
UID Banten,2023,Bisnis,3.9646
UID Jakarta Raya,2023,Bisnis,14.00163
UIW Aceh,2023,Sosial,25110.0
UIW North Sumatera,2023,Sosial,57689.0
UIW West Sumatera,2023,Sosial,21724.0
UIW Riau and Riau Archipelago,2023,Sosial,34245.0
Riau,2023,Sosial,29671.0
Kepulauan Riau,2023,Sosial,4574.0
