Provinsi,Total_2023_Rp,Total_2023_GWh,Rasio_Rp_per_GWh
ACEH,2173863906.0,3458.3,628593.2122719255
BANTEN,13465694328.0,26971.4,499258.2634939232
DKI JAKARTA,21634715305.0,36992.35,584842.9555029621
JAWA BARAT,31807638778.0,58564.31,543123.2567753296
JAWA TIMUR,24993096092.0,41886.3,596689.0389459083
BALI,4536743640.0,6354.53,713938.5037130992
JAWA TENGAH,19634689206.0,28431.75,690590.2452715714
KALIMANTAN BARAT,2303992696.0,3308.59,696366.9406000744
KALIMANTAN SELATAN,3457913548.0,3693.87,936122.1558961198
KEPULAUAN BANGKA BELITUNG,1142071050.0,1610.81,709004.1966464077
LAMPUNG,3720015175.0,5761.91,645621.8814594466
MALUKU,1182963630.0,633.56,1867169.0605467518
NUSA TENGGARA BARAT,2164806137.0,2572.6,841485.7097877634
NUSA TENGGARA TIMUR,1591375472.0,1333.25,1193606.2043877742
PAPUA,1649529285.0,1342.39,1228800.3374578177
RIAU,4938839145.0,8212.56,601376.3241912388
SULAWESI SELATAN,6636001997.0,8558.03,775412.3316931583
SULAWESI UTARA,3075155226.0,2095.38,1467588.3257452108
SUMATERA BARAT,2439057020.0,3810.84,640031.3369230931
SUMATERA SELATAN,6402613098.0,6278.5,1019767.9538106236
SUMATERA UTARA,7483401214.0,12472.84,599975.7243739197
